Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1_060471_IW2_20170512T162006_VV_A79A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170512T161951_20170512T162018_016551_01B70B_A79A/IW2/VV/5.tiff,S1_060471_IW2_20170524T162006_VV_E192-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170524T161951_20170524T162018_016726_01BC71_E192/IW2/VV/5.tiff,26,12
S1_060471_IW2_20170623T161926_VV_BD72-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170623T161909_20170623T161937_006180_00ADB3_BD72/IW2/VV/6.tiff,S1_060471_IW2_20170705T161927_VV_5903-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170705T161910_20170705T161938_006355_00B2B2_5903/IW2/VV/6.tiff,26,12
S1_060471_IW2_20170705T161927_VV_5903-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170705T161910_20170705T161938_006355_00B2B2_5903/IW2/VV/6.tiff,S1_060471_IW2_20170903T161930_VV_6416-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170903T161913_20170903T161941_007230_00CBEA_6416/IW2/VV/6.tiff,26,60
S1_060471_IW2_20170909T162012_VV_85A0-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170909T161957_20170909T162024_018301_01EC83_85A0/IW2/VV/5.tiff,S1_060471_IW2_20171102T161931_VV_F8EF-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171102T161915_20171102T161942_008105_00E51D_F8EF/IW2/VV/6.tiff,26,54
S1_060471_IW2_20171220T161930_VV_C0F8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171220T161913_20171220T161936_008805_00FACD_C0F8/IW2/VV/6.tiff,S1_060471_IW2_20180101T161929_VV_665B-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180101T161913_20180101T161936_008980_01006D_665B/IW2/VV/6.tiff,26,12
S1_060471_IW2_20171226T162011_VV_8F38-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20171226T161956_20171226T162024_019876_021D28_8F38/IW2/VV/5.tiff,S1_060471_IW2_20180212T162010_VV_0D68-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180212T161955_20180212T162022_020576_023368_0D68/IW2/VV/5.tiff,26,48
S1_060471_IW2_20180419T161929_VV_F74D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180419T161912_20180419T161936_010555_0133F2_F74D/IW2/VV/6.tiff,S1_060471_IW2_20180531T162013_VV_39A4-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180531T161958_20180531T162025_022151_02653B_39A4/IW2/VV/5.tiff,26,42
S1_060471_IW2_20180904T162019_VV_591C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180904T162004_20180904T162031_023551_02909E_591C/IW2/VV/5.tiff,S1_060471_IW2_20180916T162019_VV_874B-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180916T162004_20180916T162031_023726_02963B_874B/IW2/VV/5.tiff,26,12
S1_060471_IW2_20181016T161938_VV_7DCB-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181016T161921_20181016T161949_013180_0185B1_7DCB/IW2/VV/6.tiff,S1_060471_IW2_20181115T162019_VV_8B3F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20181115T162005_20181115T162032_024601_02B39D_8B3F/IW2/VV/5.tiff,26,30
S1_060471_IW2_20181022T162020_VV_BB47-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20181022T162005_20181022T162032_024251_02A75B_BB47/IW2/VV/5.tiff,S1_060471_IW2_20181127T162019_VV_CC10-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20181127T162004_20181127T162031_024776_02BA17_CC10/IW2/VV/5.tiff,26,36
S1_060471_IW2_20190126T162017_VV_C280-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190126T162002_20190126T162029_025651_02D94B_C280/IW2/VV/5.tiff,S1_060471_IW2_20190303T162016_VV_326F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190303T162002_20190303T162029_026176_02EC0E_326F/IW2/VV/5.tiff,26,36
S1_060471_IW2_20190225T161935_VV_3762-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190225T161918_20190225T161941_015105_01C3BC_3762/IW2/VV/6.tiff,S1_060471_IW2_20190414T161935_VV_C516-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190414T161919_20190414T161942_015805_01DABC_C516/IW2/VV/6.tiff,26,48
S1_060471_IW2_20190315T162016_VV_D897-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190315T162001_20190315T162029_026351_02F27B_D897/IW2/VV/5.tiff,S1_060471_IW2_20190514T162018_VV_A59F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190514T162003_20190514T162031_027226_0311D1_A59F/IW2/VV/5.tiff,26,60
S1_060471_IW2_20190402T161935_VV_1A66-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190402T161918_20190402T161942_015630_01D4EC_1A66/IW2/VV/6.tiff,S1_060471_IW2_20190520T161937_VV_FF13-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190520T161920_20190520T161948_016330_01EBB9_FF13/IW2/VV/6.tiff,26,48
S1_060471_IW2_20190408T162017_VV_F523-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190408T162002_20190408T162029_026701_02FF59_F523/IW2/VV/5.tiff,S1_060471_IW2_20190514T162018_VV_A59F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190514T162003_20190514T162031_027226_0311D1_A59F/IW2/VV/5.tiff,26,36
S1_060471_IW2_20190502T162018_VV_E587-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190502T162003_20190502T162030_027051_030C0B_E587/IW2/VV/5.tiff,S1_060471_IW2_20190508T161936_VV_9FEF-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190508T161920_20190508T161943_016155_01E654_9FEF/IW2/VV/6.tiff,26,6
